country,university,link,abbre
AM,French University in Armenia (UFAR),http://www.ufar.am/,ufar
AM,Mehrabyan Medical Institute and Medical College,http://www.armmed.am/,armmed
AM,Russian-Armenian (Slavonic) State University,http://www.rau.am/,rau
AM,State Engineering University of Armenia,http://www.seua.am/,seua
AM,Yerevan Haibusak University,http://www.haybusak.org/,haybusak
AM,Yerevan State Medical University,http://www.ysmu.am/,ysmu
AM,Yerevan State University,http://www.ysu.am/,ysu
AN,"American University of the Caribbean, Sint Maarten",http://www.aucmed.edu/,aucmed
AN,International University School of Medicine (IUSOM),http://www.internationaluniversity-schoolofmedicine.org/,internationaluniversity-schoolofmedicine
AN,"St.James's School of Medicine, Bonaire",http://www.sjsm.org/,sjsm
AN,University of Sint Eustatius School of Medicine,http://www.eustatiusmed.edu/,eustatiusmed
AN,"University of the Netherlands Antilles, Curacao",http://www.una.an/,una
AO,Universidade Católica de Angola,http://www.ucan.edu/,ucan
AO,Universidade Gregorio Semedo,http://www.ugs.ed.ao/,ugs
AO,Universidade Independente de Angola,http://www.unia.ao/,unia
AO,Universidade Lusíada de Angola,http://www.ulangola.net/,ulangola
AO,Universidade Metodista de Angola,http://www.uma.co.ao/,uma
AO,Universidade Metropolitana de Angola,http://www.unimetroangola.com/,unimetroangola
AO,Universidade Tecnica de Angola,http://www.utanga.co.ao/,utanga
AO,Univesidade Agostinho Neto,http://www.uan.ao/,uan
AR,Instituto de Enseñanza Superior del Ejército,http://www.iese.edu.ar/,iese
AR,"Instituto Nacional de Educación Física ""General Manuel Belgrano""",http://www.unlu.edu.ar/Belgrano.htm,unlu
AR,Instituto Tecnológico de Buenos Aires,http://www.itba.edu.ar/,itba
AR,Instituto Universitario Aeronáutico,http://www.iua.edu.ar/,iua
AR,Instituto Universitario CEMA,http://www.cema.edu.ar/,cema
AR,Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló,http://www.barcelo.edu.ar/,barcelo
AR,Instituto Universitario de Estudios Navales y Marítimos,http://www.inun.edu.ar/,inun
AR,Instituto Universitario de la Policia Federal,http://www.universidad-policial.edu.ar/,universidad-policial
AR,Instituto Universitario Nacional del Arte,http://www.iuna.edu.ar/,iuna
AR,Universidad Abierta Interamericana,http://www.vaneduc.edu.ar/uai/,vaneduc
AR,Universidad Adventista del Plata,http://www.uapar.edu/,uapar
AR,Universidad Argentina de la Empresa,http://www.uade.edu.ar/,uade
AR,"Universidad Argentina ""John F. Kennedy""",http://www.kennedy.edu.ar/,kennedy
AR,Universidad Atlantida Argentina,http://www.atlantida.edu.ar/,atlantida
AR,Universidad Austral Buenos Aires,http://www.austral.edu.ar/,austral
AR,Universidad Autónoma de Entre Ríos,http://www.uader.edu.ar/,uader
AR,Universidad Blas Pascal,http://www.ubp.edu.ar/,ubp
AR,"Universidad CAECE, Buenos Aires",http://www.caece.edu.ar/,caece
