paper_id,pdf_link,num_pages,num_figures,num_tables
2309.11983v3,https://arxiv.org/pdf/2309.11983v3,5,3,0
2308.08529v2,https://arxiv.org/pdf/2308.08529v2,13,9,5
2306.02149v1,https://arxiv.org/pdf/2306.02149v1,31,5,3
2306.15657v2,https://arxiv.org/pdf/2306.15657v2,34,0,0
2308.11485v1,https://arxiv.org/pdf/2308.11485v1,23,12,10
2311.02107v1,https://arxiv.org/pdf/2311.02107v1,26,1,2
2304.01959v2,https://arxiv.org/pdf/2304.01959v2,9,2,7
2310.20159v1,https://arxiv.org/pdf/2310.20159v1,7,1,3
2311.10786v1,https://arxiv.org/pdf/2311.10786v1,11,3,0
2305.14601v1,https://arxiv.org/pdf/2305.14601v1,11,5,5
